id,name,nfl_team,position,eligible_positions,overall_rank,position_rank,adp,tier,projected_points,floor,ceiling,upside,role_certainty,injury_risk,provider,provider_id,active
sample-chase-brown,Chase Brown,CIN,RB,RB,42,12,44.0,4,220,165,310,0.82,0.74,0.20,sample,20,true
sample-david-montgomery,David Montgomery,DET,RB,RB,54,13,58.0,5,205,175,260,0.48,0.84,0.17,sample,21,true
sample-tony-pollard,Tony Pollard,TEN,RB,RB,62,14,66.0,5,195,150,275,0.61,0.78,0.19,sample,22,true
sample-tyjae-spears,Tyjae Spears,TEN,RB,RB,83,15,88.0,6,175,115,280,0.86,0.58,0.20,sample,23,true
sample-blake-corum,Blake Corum,LAR,RB,RB,104,16,110.0,7,130,65,260,0.96,0.30,0.16,sample,24,true
sample-jamarr-chase,Ja'Marr Chase,CIN,WR,WR,3,1,3.0,1,330,280,410,0.96,0.98,0.12,sample,25,true
sample-justin-jefferson,Justin Jefferson,MIN,WR,WR,5,2,5.0,1,320,270,400,0.93,0.97,0.14,sample,26,true
sample-ceedee-lamb,CeeDee Lamb,DAL,WR,WR,6,3,6.0,1,315,260,405,0.94,0.97,0.13,sample,27,true
sample-amon-ra,Amon-Ra St. Brown,DET,WR,WR,7,4,7.0,1,310,275,370,0.82,0.98,0.10,sample,28,true
sample-puka-nacua,Puka Nacua,LAR,WR,WR,9,5,9.5,2,295,240,380,0.90,0.91,0.22,sample,29,true
sample-malik-nabers,Malik Nabers,NYG,WR,WR,10,6,10.5,2,290,230,390,0.98,0.86,0.18,sample,30,true
sample-aj-brown,A.J. Brown,PHI,WR,WR,13,7,14.0,2,280,235,350,0.80,0.94,0.18,sample,31,true
sample-nico-collins,Nico Collins,HOU,WR,WR,16,8,17.0,2,270,215,355,0.86,0.87,0.23,sample,32,true
sample-brian-thomas,Brian Thomas Jr.,JAX,WR,WR,19,9,21.0,3,265,205,365,0.92,0.83,0.17,sample,33,true
sample-drake-london,Drake London,ATL,WR,WR,20,10,22.0,3,260,215,335,0.85,0.90,0.14,sample,34,true
sample-garrett-wilson,Garrett Wilson,NYJ,WR,WR,24,11,26.0,3,255,200,350,0.91,0.87,0.16,sample,35,true
sample-ladd-mcconkey,Ladd McConkey,LAC,WR,WR,27,12,29.0,3,250,205,325,0.84,0.90,0.15,sample,36,true
sample-tee-higgins,Tee Higgins,CIN,WR,WR,34,13,36.0,4,235,180,325,0.76,0.82,0.30,sample,37,true
sample-dk-metcalf,D.K. Metcalf,PIT,WR,WR,40,14,43.0,4,225,175,310,0.72,0.86,0.18,sample,38,true
sample-terry-mclaurin,Terry McLaurin,WAS,WR,WR,44,15,47.0,4,220,180,285,0.58,0.91,0.12,sample,39,true
sample-zay-flowers,Zay Flowers,BAL,WR,WR,49,16,52.0,5,215,165,300,0.74,0.84,0.14,sample,40,true
sample-jordan-addison,Jordan Addison,MIN,WR,WR,63,17,68.0,5,195,135,295,0.80,0.69,0.16,sample,41,true
sample-jameson-williams,Jameson Williams,DET,WR,WR,72,18,77.0,6,185,115,310,0.93,0.62,0.17,sample,42,true
sample-ricky-pearsall,Ricky Pearsall,SF,WR,WR,87,19,92.0,6,170,100,295,0.91,0.53,0.18,sample,43,true
sample-rashid-shaheed,Rashid Shaheed,NO,WR,WR,106,20,112.0,7,150,85,275,0.88,0.50,0.20,sample,44,true
sample-brock-bowers,Brock Bowers,LV,TE,TE,12,1,13.0,1,270,225,340,0.94,0.97,0.12,sample,45,true
sample-trey-mcbride,Trey McBride,ARI,TE,TE,15,2,16.0,1,255,215,320,0.87,0.96,0.11,sample,46,true
sample-george-kittle,George Kittle,SF,TE,TE,30,3,32.0,2,230,185,300,0.72,0.91,0.24,sample,47,true
sample-sam-laporta,Sam LaPorta,DET,TE,TE,38,4,40.0,2,220,175,295,0.78,0.88,0.16,sample,48,true
sample-mark-andrews,Mark Andrews,BAL,TE,TE,53,5,56.0,3,205,160,280,0.68,0.83,0.20,sample,49,true
sample-tj-hockenson,T.J. Hockenson,MIN,TE,TE,67,6,71.0,3,190,145,270,0.66,0.76,0.26,sample,50,true
sample-dallas-goedert,Dallas Goedert,PHI,TE,TE,89,7,95.0,4,165,125,225,0.45,0.81,0.24,sample,51,true
sample-tyler-warren,Tyler Warren,IND,TE,TE,102,8,108.0,5,145,80,255,0.90,0.42,0.14,sample,52,true
sample-brandon-aubrey,Brandon Aubrey,DAL,K,K,115,1,120.0,1,155,125,180,0.35,0.95,0.08,sample,53,true
sample-cameron-dicker,Cameron Dicker,LAC,K,K,126,2,130.0,1,145,120,170,0.28,0.92,0.07,sample,54,true
sample-harrison-butker,Harrison Butker,KC,K,K,138,3,142.0,2,140,112,168,0.24,0.90,0.08,sample,55,true
sample-jake-elliott,Jake Elliott,PHI,K,K,150,4,154.0,2,135,108,162,0.20,0.89,0.08,sample,56,true
sample-denver-defense,Denver Broncos,DEN,DEF,DEF,116,1,122.0,1,145,95,210,0.45,0.70,0.10,sample,57,true
sample-philadelphia-defense,Philadelphia Eagles,PHI,DEF,DEF,124,2,128.0,1,140,92,205,0.42,0.68,0.10,sample,58,true
sample-buffalo-defense,Buffalo Bills,BUF,DEF,DEF,136,3,140.0,2,132,86,195,0.38,0.65,0.10,sample,59,true
sample-pittsburgh-defense,Pittsburgh Steelers,PIT,DEF,DEF,145,4,150.0,2,128,82,190,0.36,0.63,0.10,sample,60,true
